Emotion,Valence,Arousal
discontent,4.473573653,4.25147541
tired,5.715552962,3.29
sleepy,5.752626971,3.29
satisfied,7.161439322,3.813155738
sad,4.232592593,4.138360656
uncomfortable,4.473573653,4.180778689
embarassed,5.159442823,3.85557377
amused,6.753625221,4.972581967
pleased,7.383883378,4.562540984
impressed,6.457033147,4.619098361
afraid,5.511645911,5.820942623
pensive,5.78970098,3.85557377
angry,4.992609782,5.820942623
hopeful,6.864847248,4.279754098
content,7.235587341,3.926270492
contemplative,6.809236234,3.85557377
calm,7.179976327,3.742459016
peaceful,6.753625221,3.572786885
bored,5.085294805,3.601065574
frustrated,4.62186969,5.269508197
excited,7.03168029,5.707827869
apathetic,5.363349874,4.534262295
happy,7.383883378,4.944303279
melancholy,5.641404944,3.784877049
good,7.402420382,4.590819672
relaxed,7.050217294,3.784877049
engraged,5.400423883,5.8775
disappointed,4.251129597,4.661516393
depressed,4.232592593,4.025245902
worried,5.604330934,4.25147541
anxious,4.399425634,3.572786885
distressed,4.417962639,5.481598361
determined,7.087291304,5.071557377
annoyed,4.918461763,5.77852459